LaboratoryName,PrimeAddress,City,State,Country,,,,,,,,,,,,,,,,,,
GANDHAR OIL REFINERY INDIA LIMITED,"PLOT NO. 2, SURVEY NO. 678/1/3 & 675/1/2",Silvassa,Dadra and Nagar Haveli,India,,,,,,,,,,,,,,,,,,
"GARG ASSOCIATES PRIVATE LIMITED, Q.A. LAB","D-3, MEERUT ROAD INDUSTRIAL AREA-3",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
GE VERNOVA T&D INDIA LIMITED,"PLOT NO.46, SIPCOT INDUSTRIAL COMPLEX",Hosur,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
GEMSCAB INDUSTRIES LIMITED,"PLOT NO. SP-1192/ L & K,  PHASE -IV, RIICO INDUSTRIAL AREA",Bhiwadi,Rajasthan,India,,,,,,,,,,,,,,,,,,
GEMSCAB INDUSTRIES LIMITED (UNIT-II),"PLOT NO. SP4- 868, 869, RIICO INDUSTRIAL AREA, PATHREDI",Bhiwadi,Rajasthan,India,,,,,,,,,,,,,,,,,,
GENUS METER TESTING LABORATORY,"SPL-3, RIICO INDUSTRIAL AREA, SITAPURA, TONK ROAD",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
GENUS POWER INFRASTRUCTURES LIMITED METERING LABORATORY,"PLOT-12, SEC-4, SIDCUL",Haridwar,Uttarakhand,India,,,,,,,,,,,,,,,,,,
"GENUS POWER INFRASTRUCTURES LIMITED, METERING LAB","PLOT NO. SP1-2317, RIICO INDUSTRIAL AREA, RAMCHANDRAPURA SITAPURA(EXT)",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
"GENUS POWER METERING LABORATORY, GENUS POWER INFRASTRUCTURES LIMITED","PLOT NO. 09, SECTOR-02, SIDCUL, RANIPUR",Haridwar,Uttarakhand,India,,,,,,,,,,,,,,,,,,
GENUS POWER METROLOGICAL LABORATORY,"PLOT NO. 104; BRAHMAPUTRA INDUSTRIAL PARK, AMINGAON",Guwahati,Assam,India,,,,,,,,,,,,,,,,,,
GHAZIABAD TESTING LABORATORIES PVT. LTD.,"AO 150, AMRIT STEEL COMPOUND, SOUTH SIDE GT ROAD   INDUSTRIAL AREA",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
GIGA LABS,"BEARYS GLOBAL RESEARCH CENTRE, 63/3B, GORVIGERE VILLAGE, BIDARAHALLI HOBLI",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
GLOBAL AUTOMOTIVE RESEARCH CENTRE (GARC),"PLOT E1, SIPCOT INDUSTRIAL GROWTH CENTRE",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
GLOBAL COMPLIANCE LABORATORY INDIA,"14/17, SECOND FLOOR, SITE 4, INDUSTRIAL AREA, SAHIBABAD",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
GLOBAL ELECTRICAL LABORATORY LLP,"302, SUN ENCLAVE, MANJALPUR",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
GLOBAL POWER RESEARCH INSTITUTE (UNIT OF SARAVANA GLOBAL ENERGY LIMITED),"VRIDHACHALAM ROAD, P.N.KUPPAM",Kurinjippadi,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
GLOBAL TESTING LABORATORY PRIVATE LIMITED,"PLOT NO.55, RAJENDRA NAGAR INDUSTRIAL AREA, GALI NO. 5 A, MOHAN NAGAR",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"GLOSTER CABLES LIMITED, TESTING LAB","SURVEY NO. 293, KALLAKAL (VILLAGE), NH-44, MANOHARABAD (MANDAL)",Medak,Telangana,India,,,,,,,,,,,,,,,,,,
"GODREJ BUSBAR TEMPERATURE RISE & IMPULSE TEST LABORATORY, GODREJ & BOYCE MFG CO LTD.","PLOT NO.495, 2ND STAGE, SOMPURA INDUSTRIAL AREA, BEERAGONDANAHALLI VILLAGE, NELAMANGALA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
GRANDLAY ELECTRICALS (INDIA) (LAB DIVISION),"PLOT NO.-73, MURTHAL",Sonipat,Haryana,India,,,,,,,,,,,,,,,,,,
GRANITE RIVER LABS INDIA SERVICES PRIVATE LIMITED,"UNIT # 10, 1ST FLOOR, ROACH ICON, SURVEY NO. 28 & 36/5, OUTER RING ROAD, DODDANAKUNDI, K R PURAM HOBLI",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"GWALIOR TESTING LABORATORY, MADHYA PRADESH MADHYA KSHETRA VIDYUT VITARAN COMPANY LIMITED",SIROL ROAD,Gwalior,Madhya Pradesh,India,,,,,,,,,,,,,,,,,,
HAIER APPLIANCES (INDIA) PVT. LTD.-WATER HEATER LAB,"B-3, RANJANGAON GROWTH CENTER, MIDC RANJANGAON, TALUKA-SHIRUR",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
HAIER APPLIANCES INDIA PVT LTD,"B-3, RANJANGAON GROTH CENTRE, MIDC RANJANGAON",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
"HAIER PA LAB, HAIER APPLIANCES (INDIA) PVT. LTD.","B-3, MIDC, RANJANGAON, TAL.-SHIRUR",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
HAMMOND POWER SOLUTIONS PRIVATE LIMITED,"PLOT NO. 6A, PHASE 1, I.D.A",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
HASTI ENGINEERS LLP,"KAILASH INDUSTRIAL AREA, 40 FEET SWATI RESIDENCY MAIN ROAD",Rajkot,Gujarat,India,,,,,,,,,,,,,,,,,,
HAVELLS INDIA LIMITED,"A-461/462 & SP-215, M.I.A.",Alwar,Rajasthan,India,,,,,,,,,,,,,,,,,,
HAVELLS INDIA LIMITED,"PLOT NO. SP 181-189 AND 191(A), PHASE - II, RIICO INDUSTRIAL AREA, NEEMRANA",Alwar,Rajasthan,India,,,,,,,,,,,,,,,,,,
HAVELLS INDIA LIMITED - CRI DIVISION,"E-1, SECTOR-59",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
HAVELLS RESEARCH & DEVELOPMENT LABORATORY - UNIT II,"VILLAGE GULLARWALA, SOLAN",Baddi,Himachal Pradesh,India,,,,,,,,,,,,,,,,,,
HEPL TESTING AND CALIBRATION LABORATORY,"HIVOLTRANS ELECTRICALS PVT. LTD., 2202-03, GIDC HALOL",Halol,Gujarat,India,,,,,,,,,,,,,,,,,,
HERRMANN RESEARCH PRODUCTS AND LABORATORIES PVT LTD,"B-4/1, NICE, MIDC, SATPUR",Nashik,Maharashtra,India,,,,,,,,,,,,,,,,,,
HFCL LIMITED (OFC TEST LAB),"PLOT NO: S-9, SURVEY NO. 26P, 62P, 88P, ELECTRONIC CITY, RAVIRYLA, MAHESHWARAM (M)",Ranga Reddy district,Telangana,India,,,,,,,,,,,,,,,,,,
HFCL LTD. (OFC TESTING LAB),"L-35,36,37, VERNA INDUSTRIAL ESTATE",Verna,Goa,India,,,,,,,,,,,,,,,,,,
HI PHYSIX LABORATORY INDIA PRIVATE LIMITED,"B-32/1/2, MIDC, INDUSTRIAL AREA, RANJANGAON",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
"HIGH VOLTAGE AND HIGH CURRENT TEST       LABORATORY, BUSHINGS, INSTRUMENT TRANSFORMERS & COILS, SIEMENS ENERGY INDIA LimiTED","E-76, MIDC, WALUJ",Aurangabad,Maharashtra,India,,,,,,,,,,,,,,,,,,
HIGH VOLTAGE PRODUCTS LABORATORY - HITACHI ENERGY INDIA LIMITED,MANEJA,Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
"HIGH VOLTAGE TEST LABORATORY, ELECTRICAL CONTROLS & SYSTEMS","1409-1410, WAGHODIA GIDC, WAGHODIA",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
"HIGH VOLTAGE TEST LABORATORY, PFIFFNER INSTRUMENT TRANSFORMERS PRIVATE LIMITED","G. NO. 176, 178/2",Nashik,Maharashtra,India,,,,,,,,,,,,,,,,,,
"HINDALCO INDUSTRIES LIMITED, HIC SEMI FAB","PLOT NO. 2,  MIDC,  TALOJA AV",Navi Mumbai Panvel,Maharashtra,India,,,,,,,,,,,,,,,,,,
"HIREL LABORATORY, CONTINENTAL DEVICE INDIA PRIVATE LIMITED","C-120, NARAINA INDUSTRIAL AREA",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
HI-TECH AUTOMATIC METER TEST LAB,"33/11 KV SUB-STATION, GANGANAGAR-1",Meerut,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"HI-TECH AUTOMATIC METER TEST LAB, DVVNL","CHIEF DISTRIBUTION OFFICE, GAILANA ROAD",Agra,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"HI-TECH METER LABORATORY, UGVCL",SABARMATI,Ahmedabad,Gujarat,India,,,,,,,,,,,,,,,,,,
HI-TECH METER TESTING LABORATORY,"NAKA MADAR, AVVNL",Ajmer,Rajasthan,India,,,,,,,,,,,,,,,,,,
HI-TECH METER TESTING LABORATORY,"PASCHIM GUJARAT VIJ CO. LTD., ZONAL OFFICE",Bhavnagar,Gujarat,India,,,,,,,,,,,,,,,,,,
"HI-TECH TEST LAB, MVVNL","GOMTI NAGAR, VIPIN KHAND",Lucknow,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"HONEYWELL ELECTRICAL DEVICES & SYSTEMS INDIA LIMITED, HOPE TOWN TEST CENTRE","KHASRA NO.323 (MI), CENTRAL HOPE TOWN",Dehradun,Uttarakhand,India,,,,,,,,,,,,,,,,,,
"HONEYWELL TECHNOLOGY SOLUTIONS - EMC, ENV/SAFETY LAB","19/2, DEVARABISANAHALLI VILLAGE, VARTUR HOBLI, BANGALORE EAST TALUK",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED - EMC/ENV/SAFETY LAB,"PLOT NO.11, SURVEY NO. 115, RD NO.2, IT PARK, NANAKRAMGUDA, GACHIBOWLI",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
"HPL ELECTRIC & POWER LIMITED, TESTING LABORATORY","MAIN G.T ROAD, NH-44, VILLAGE- BASTARA, TEHSIL- GHARAUNDA",Karnal,Haryana,India,,,,,,,,,,,,,,,,,,
HT PRODUCT SERVICES PRIVATE LIMITED,"B-78, BASEMENT, 1ST, 4TH, 5TH FLOOR, SECTOR-5",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
HTL OFC TESTING LABORATORY,"NO. 57, GST ROAD, GUINDY",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
HTPL LABORATORY,"PLOT NO. 5, SECTOR-12, IIE, SIDCUL",Haridwar,Uttarakhand,India,,,,,,,,,,,,,,,,,,
"HV ELECTRICAL LAB & THERMO MECHANICAL LAB, RAYCHEM RPG PVT. LTD.",SAFARI CROSSING,Halol,Gujarat,India,,,,,,,,,,,,,,,,,,
"HV TEST LAB, ANDREW YULE AND COMPANY LIMITED","ELECTRICAL DIVISION, 5/346, OLD MAHABALIPURAM ROAD",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"HV TEST LABORATORY, SIEMENS ENERGY INDIA LIMITED","THANE BELAPUR ROAD, AIROLI POST OFFICE, AIROLI",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
"HV/EHV TEST LABORATORY, KEC ASIAN CABLES LIMITED","PLOT NO. 803, SAMALAYA SAVLI ROAD VILLAGE GODAMPURA",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
I.T.L. TESTING LAB,"INTERNATIONAL TRANSMISSION LIMITED, VILLAGE-PUNDHE, MUMBAI-NASHIK HIGHWAY",Shahapur,Maharashtra,India,,,,,,,,,,,,,,,,,,
IAC ELECTRICALS PRIVATE LIMITED (TESTING LABORATORY),"SANKRIAL INDUSTRIAL PARK, PLOT NO. 53, VILLAGE JALADHULAGORI, PO DHULAGORI, BOMBAY ROAD (NH-6)",Howrah,West Bengal,India,,,,,,,,,,,,,,,,,,
IAF EMI-EMC LABORATORY,AIR FORCE STATION SOHNA ROAD,Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
IEC TEST LABS LLP,"GROUND FLOOR, PLOT NO.N-47, PKT-N, SECTOR-5, BAWANA, DSIDC",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
IFB TESTING LABORATORY,"L-1, VERNA ELECTRONIC CITY",Verna,Goa,India,,,,,,,,,,,,,,,,,,
IMPACTCALIBRATION AND TESTING SOLUTIONS PRIVATE LIMITED,"B5, 2ND CROSS, ITI INDUSTRIAL ESTATE",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"IMPULSE TEST LAB, SHREE ABIRAMI ENGGINEERING WORKS PRIVATE LIMITED","SURVEY No. 22/1 & 22/2, SH 113",Sriperumpudur,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"INDIA R&D LABORATORIES, ELECTRICAL INFRASTRUCTURE SBU, NOVATEUR ELECTRICAL AND DIGITAL SYSTEMS PRIVATE LIMITED (LEGRAND INDIA)","A-2, MIDC INDUSTRIAL AREA",Nashik,Maharashtra,India,,,,,,,,,,,,,,,,,,
INDIAN NAVAL MIL-STD-461 TEST LAB,"NAVAL EMC CENTRE, C/O FLEET MAIL OFFICE, NAVAL DOCKYARD, COLABA",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
INDIAN TRANSFORMERS AND ELECTRICALS PRIVATE LIMITED - TESTING LABORATORY,"38TH K.M. STONE, NH-8, BEHRAMPUR ROAD, SECTOR-34",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
"INDKOSQUARE LAB, INDKOSQUARE GLOBAL ENGINEERING PRIVATE LIMITED","B-139, ROAD NO. 12, VKI AREA",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
INDO TECH TRANSFORMERS LIMITED,"S.NO.153-210, ILLUPPATTU VILLGE, RAJAKULAM POST",Kanchipuram,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
INDUSTRIAL ELECTRICS,"PLOT NO. 105, GNIDA, ECOTECH-12",Greater Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"INDUSTRIAL TEST HOUSE, EXIDE INDUSTRIES LIMITED","DURGACHAK, PURBA MEDINIPORE",Haldia,West Bengal,India,,,,,,,,,,,,,,,,,,
INSTITUTE FOR DESIGN OF ELECTRICAL MEASURING INSTRUMENTS,"SWATANTRYAVEER TATYA TOPE MARG, CHUNABHATTI, SION",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
INSTITUTE OF TESTING AND CERTIFICATION INDIA PVT. LTD.,"146, JLPL, INDUSTRIAL AREA, SECTOR - 82",Mohali,Punjab,India,,,,,,,,,,,,,,,,,,
"INSULATING OIL TESTING LABORATORY (IOTL), POWER GRID CORPORATION OF INDIA LIMITED","AT: 765/400 KV, ANGUL POOLING STATION, PO: PHULPADA",Angul,Odisha,India,,,,,,,,,,,,,,,,,,
INSULATING OIL TESTING LABORATORY (POWER GRID CORPORATION OF INDIA LTD.),"400/220 KV POWERGRID SUBSTATION, PARULIA, P.O- DHABANI",Durgapur,West Bengal,India,,,,,,,,,,,,,,,,,,
"INSULATING OIL TESTING LABORATORY, CESC LIMITED","107/1, D.C. DEY ROAD",Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
"INSULATING OIL TESTING LABORATORY, POWER GRID CORPORATION OF INDIA LIMITED","400/220 KV MISA SUB-STATION , VELUGURI, POST-KOTHIATOLI",Hojai,Assam,India,,,,,,,,,,,,,,,,,,
"INSULATING OIL TESTING LABORATORY, POWER GRID CORPORATION OF INDIA LIMITED",HVDC BACK TO BACK STATION & 400 KV SUB-STATION,Bhadravati,Maharashtra,India,,,,,,,,,,,,,,,,,,
"INSULATING OIL TESTING LABORATORY, POWER GRID CORPORATION OF INDIA LIMITED (WR-II)","400/220KV SUBSTATION, BETUL ROAD, PATHROTA",Itarsi,Madhya Pradesh,India,,,,,,,,,,,,,,,,,,
"INTEGRATED EMC AND RELIABILITY TESTING LABORATORY, BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED","NO.123, HOSUR ROAD, INDUSTRIAL LAYOUT",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"INTEGRATED EMC AND RELIABILITY TESTING LABORATORY, BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED","CHIL - SEZ, KEERANATHAM VILLAGE",Coimbatore,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"INTEGRATED EMC AND RELIABILITY TESTING LABORATORY, BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED","601, HOSUR ROAD, ADUGODI",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
INTELLISMART METER TESTING LABORATORY,"GROUND FLOOR, TOWER A, UNITECH BUSINESS PARK, SOUTH CITY-1",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
INTERNATIONAL CENTRE FOR AUTOMOTIVE TECHNOLOGY,"PLOT NO. 26, SECTOR-3, HSIIDC, IMT MANESAR",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
INTERTEK INDIA PRIVATE LIMITED,"E-26, BLOCK B-1, MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA ROAD",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
INTERTEK INDIA PRIVATE LIMITED,"E-20, BLOCK B-1, MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA ROAD",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
INTERTEK INDIA PRIVATE LIMITED,"17/F, 2ND STAGE, INDUSTRIAL SUBURB, YESHWANTHPUR INDUSTRIAL AREA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
INTERTEK INDIA PRIVATE LIMITED,"""F"" WING, TEX CENTRE, CHANDIVALI FARM ROAD, ANDHERI (EAST)",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
INTEVA PRODUCTS INDIA AUTOMOTIVE PVT. LTD (TESTING LAB),"4TH FLOOR, N1 BLOCK, MANYATA EMBASSY BUSINESS PARK, NAGAWARA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
JAYBEE TRANSFORMER LABORATORY (OPC) PRIVATE LIMITED,"5TH KM STONE, MALOUT ROAD",Bathinda,Punjab,India,,,,,,,,,,,,,,,,,,
JSL INSTRUMENT TRANSFORMER LABORATORY,"JSL INDUSTRIES LTD, N.H.NO.8, MOGAR",Anand,Gujarat,India,,,,,,,,,,,,,,,,,,
KAMATH TRANSFORMERS PVT LTD TESTING LABORATORY,"NO. 4 D E F, KIADB INDUSTRIAL AREA, YEDEHALLI, SOMPURAPURA HOBLI, DABASPET",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
KANOHAR ELECTRICALS LIMITED,GANGOL ROAD,Meerut,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
KARANDIKAR LABORATORIES PVT. LTD.,"GAT NO. 142, BOISAR CHILHAR ROAD, AT BETEGAON, BOISAR(E)",Boisar,Maharashtra,India,,,,,,,,,,,,,,,,,,
KC INDIA TEST LABORATORIES LLP,"A-16/2, SITE-IV, SAHIBABAD INDUSTRIAL AREA",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"KDI POWER PRIVATE LIMITED, TESTING LABORATORY","H-1243, DSIDC INDUSTRIAL AREA, NARELA, NORTH WEST DELHI",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
KEDL METER TESTING LAB,"METERING DEPARTMENT, A2 DIVISION, VIGYAN NAGAR",Kota,Rajasthan,India,,,,,,,,,,,,,,,,,,
"KELTRON CONTROLS, ENVIRONMENTAL TEST FACILITY","KELTRON CONTROLS, AROOR",Alappuzha,Kerala,India,,,,,,,,,,,,,,,,,,
KERALA STATE ELECTRICITY BOARD LIMITED (METER TESTING LABORATORY),"TMR DIVISION, PAKKIL P.O, PALLOM",Kottayam,Kerala,India,,,,,,,,,,,,,,,,,,
KERALA STATE ELECTRICITY BOARD LIMITED (METER TESTING LABORATORY),TMR DIVISION - THIRUMALA,Thiruvananthapuram,Kerala,India,,,,,,,,,,,,,,,,,,
KINECTRICS INDIA PRIVATE LIMITED,"SY NO: 125, BANDA MAILARAM VILLAGE",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
K-LITE LAB,"G8, AMBATTUR INDUSTRIAL ESTATE",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"KPML LOW VOLTAGE ROTATING MACHINE AND HYDRAULIC LABORATORY, KARAD PROJECTS AND MOTORS LIMITED","PLOT NO. B-67/ 68, KARAD INDUSTRIAL AREA, TASAWADE MIDC",Karad,Maharashtra,India,,,,,,,,,,,,,,,,,,
KRYFS POWER COMPONENTS LTD,"SURVEY NO.211/1, KHERDI VILLAGE",Silvassa,Dadra and Nagar Haveli,India,,,,,,,,,,,,,,,,,,
KSE ELECTRICALS PRIVATE LIMITED (TESTING LABORATORY),"JALAN INDUSTRIAL COMPLEX, 3RD MAIN ROAD, 4TH LEFT LANE,NH-6, BOMBAY HIWAY. PO.O BEGRI, HOWRAH, WEST BENGAL",Howrah,West Bengal,India,,,,,,,,,,,,,,,,,,
LAB DIVISION - ASHOKA CABLES PRIVATE LIMITED,"KHASRA NO. 250/3, RIICO ROAD, SKS INDUSTRIAL AREA, PARASRAMPURA HALKA SARGOTH",Ringas,Rajasthan,India,,,,,,,,,,,,,,,,,,
LAB DIVISION- INSUCON CABLES AND CONDUCTORS PRIVATE LIMITED,"BINDAYAKA INDUSTRIAL AREA, F 61-63, ROAD NO.5A",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
"LABORATORIES OF HINDALCO INDUSTRIES LIMITED, UNIT: BIRLA COPPER","PO: DAHEJ, TA: VAGRA",Bharuch,Gujarat,India,,,,,,,,,,,,,,,,,,
LABORATORY DIVISION - HEPTACARE POWER INDUSTRIES PRIVATE LIMITED,"A-9/ A10, UDYOG PURAM PARTAPUR",Meerut,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"LABORATORY DIVISION, LKB ENGINEERING PRIVATE LIMITED","E-418 TO E-421, RIICO INDUSTRIAL AREA, CHOPANKI, BHIWADI",Alwar,Rajasthan,India,,,,,,,,,,,,,,,,,,
"LAHARI - ADVANCED ELECTRONICS TEST FACILITY, MYSORE ESDM CLUSTER","PLOT 336/4 & 336/5, HEBBAL INDUSTRIAL AREA, HEBBAL",Mysuru,Karnataka,India,,,,,,,,,,,,,,,,,,
LAPP CABLE AND MATERIAL TESTING LABORATORY (LCMTL),"PLOT NO. 98, J&K, JIGANI INDUSTRIAL AREA, PHASE II, BANGALORE SOUTH",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"LAURITZ KNUDSEN SWITCHGEAR TESTING LABORATORIES, MSW, SEIPL","A 600, ELECTRICAL AND AUTOMATION CAMPUS, SHILL MAHAPE ROAD, TTC INDUSTRIAL AREA, MIDC",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
"LBI (LAB INDIA), SOCOMEC INDIA PRIVATE LIMITED","PLOT NO. 756, PACE CITY-II, SECTOR-37",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
LEGION ENERGY PRODUCTS PRIVATE LIMITED - LABORATORY DIVISION,"PLOT NO. 61, 62 & 63, OBADENAHALLI INDUSTRIAL AREA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
LG REFRIGERATOR TESTING LABORATORY,"GROUND FLOOR & FOURTH FLOOR, WEGMANS BUSINESS PARK, IT TOWER-1, PLOT NO.3, KNOWLEDGE PARK III",Greater Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
LHP ROTATING MACHINE TESTING LABORATORY,"B11-B16, CHINCHOLI MIDC",Solapur,Maharashtra,India,,,,,,,,,,,,,,,,,,
"LIEBHERR PA LAB, LIEBHERR APPLIANCES INDIA PVT. LTD.",A-1/6 SHENDRA MIDC,Aurangabad,Maharashtra,India,,,,,,,,,,,,,,,,,,
LIGHTHOUSE TEST LABORATORY,"A-89, Basement, SECTOR-65, GAUTAM BUDDHA NAGAR",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
LIGHTING TECHNOLOGIES-TECHNOLOGY LAB,"NO.40, JIGANI INDUSTRIAL AREA, 1ST PHASE, SY .NO.592 & 124, JIGANI VILLAGE & HOBLI, ANEKAL TALUK",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
LOKENATH INDUSTRIES GE MOTORS (OPC) PRIVATE LIMITED,"BAMUNARI, TRMR PROJECT SIDE, DANKUNI, RISHRA",Howrah,West Bengal,India,,,,,,,,,,,,,,,,,,
LS CABLE INDIA PVT LTD (LAB DIVISION),"PLOT NO 28-31, SECTOR-5, HSIIDC, BAWAL",Rewari,Haryana,India,,,,,,,,,,,,,,,,,,
LUCID LABORATORIES PVT LTD,"PLOT NO.3, IDA, BALANAGAR",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
LUKER - TESTING LABORATORY,"54, KRISHNARAYAPURAM THOTTASALAI",Coimbatore,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
LUMINO INDUSTRIES LIMITED (TESTING LABORATORY),"BIPRANNAPARA, JALAN COMPLEX GATE NO-1",Howrah,West Bengal,India,,,,,,,,,,,,,,,,,,
"LV IEC MOTORS TESTING LAB, ABB INDIA LIMITED","LV MOTORS, PLOT NO 5 & 6, PEENYA INDUSTRIAL AREA, 2ND PHASE, PEENYA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
MAEON LABORATORIES LLP,"NO 14, LAKSHMIKANTHAMMAL 1ST STREET,RAJIV NAGAR, VANAGARAM",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
MAGNA AUTOMOTIVE INDIA PVT. LTD.,"PLOT NO:7B, 8TH AVENUE, 1ST CROSS ROAD",Chengalpattu,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
MAHATI ELECTRICAL TESTING LABORATORY (UNIT OF MAHATI INDUSTRIES PVT. LTD.),"GAT NO. 233 & 175-2, NH-9, PUNE-SOLAPUR ROAD, A/P YEWAT, TAL. DAUND",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
"MAHINDRA RESEARCH VALLEY (MRV) TESTING LABORATORIES, MAHINDRA & MAHINDRA LTD.","PLOT NO: 41/1, ANJUR PO",Chengalpattu,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
MAHINDRA TEQO PRIVATE LIMITED - MOBILE PV LAB,"MAHINDRA TOWERS, PANDURANG BHUDHKAR MARG, WORLI",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
MANGAL ELECTRICAL INDUSTRIES PRIVATE LIMITED,"E-40 TO E46 & E46A, SHREE KHATU SHYAM JI INDUSTRIAL AREA",Ringas,Rajasthan,India,,,,,,,,,,,,,,,,,,
MARELLI MOTHERSON AUTOMOTIVE LIGHTING INDIA PVT. LTD.,"GAT NO. 148-150, VILLAGE AMBETHAN",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
MARQUIS TECHNOLOGIES PRIVATE LIMITED,"A - 43, SECTOR 67",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
MARSONS LIMITED (TESTING LABORATORY),"15-151, BUDGE BUDGE TRUNK ROAD, CHAKMIR",Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
MATERIAL TESTING LABORATORY,BHARAT HEAVY ELECTRICALS LTD.,Jhansi,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
