LaboratoryName,PrimeAddress,City,State,Country,,,,,,,,,,,,,,,,,,
BRANCH MSME DEVELOPMENT & FACILITATION OFFICE,"386, PATEL ROAD, RAMNAGAR",Coimbatore,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
BRIGHTGRID TESTING LABORATORY,"S-14/C, RAVIRYAL, E-CITY SEZ, MAHESWARAM MANDAL, INDUSTRIAL PARK",Ranga Reddy district,Telangana,India,,,,,,,,,,,,,,,,,,
"BRPL LABORATORY, BSES RAJDHANI POWER LIMITED","SUBSTATION NO. 15, SECTOR 7, PUSHP VIHAR",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
BSR TRANSFORMER TESTING LAB,"PLOT NO. 67, 68, 69, 74, 75, M.G. AUTONAGAR, VILLAGE SOMASUNDARAPALEM",Tenali,Andhra Pradesh,India,,,,,,,,,,,,,,,,,,
BUREAU OF INDIAN STANDARDS (WESTERN REGIONAL LABORATORY),"PLOT NO. E-9, ROAD NO. 8, M.I.D.C., ANDHERI (EAST)",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
"BUREAU OF INDIAN STANDARDS, BANGALORE BRANCH LABORATORY",PEENYA 1ST STAGE,Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"BUREAU OF INDIAN STANDARDS, EASTERN REGIONAL LABORATORY (EROL)","P-230, CIT SCHEME, VII M, BLOCK W, KANKURGACHI",Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
"BUREAU OF INDIAN STANDARDS, SOUTHERN REGIONAL OFFICE LABORATORY","IV CROSS ROAD, CIT CAMPUS",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
BUREAU VERITAS CONSUMER PRODUCTS SERVICES (INDIA) PVT. LTD.,"C-19, SECTOR-07, GAUTAM BUDDHA NAGAR",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
BUV INTERNATIONAL POWER LAB PRIVATE LIMITED,"SHOP NO. 43-48, 1ST FLOOR, SHIVANSH SHARNAM",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
BVG LABORATORIES & ELECTRICAL RESEARCH CENTER PRIVATE LIMITED,"16, SURVEY NO. 52/2, 11TH CROSS, BALAJINAGAR, THIGALARAPALYA MAIN ROAD, PEENYA 2ND STAGE",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
BYPL LABORATORY,"BSES YAMUNA POWER LIMITED, SAVITA VIHAR",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
